country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,tuberculosis,hiv,infant_mortality,physicians,gdp_capita,gdp_growth_capita,educ_exp_capita,health_exp_capita,health_expend_category
RUS,Russian Federation (the),2005,143518523,-0.38,15.17,13.82,771495,6.4,7.2,3.8,4.8,72.47,58.92,87,1.447,16.2,2.213,5375.57789665937,344.0369853862,204.271960073056,258.02773903965,medium
RUS,Russian Federation (the),2010,142849449,0.04,14.93,13.11,1539845,4.5,7.4,4.1,5,74.88,63.09,85,0.518,10.7,2.4,10779.4955512919,485.077299808136,441.959317602968,538.974777564595,high
RUS,Russian Federation (the),2019,144478050,-0.01,17.91,14.67,1577524,1.5,4.9,3.8,5.3,77.81,67.75,54,0.422,8.3,4,10918.7797039066,163.781695558599,414.91362874845,578.695324307049,high
RWA,Rwanda,2005,8840215,1.82,42.36,2.78,2581,9.4,1.7,5.7,8.8,56.44,54.01,102,3.8,94.3,0.227,291.961224924959,27.4443551429462,16.6417898207227,25.6925877933964,very low
RWA,Rwanda,2010,10039338,2.59,41.54,2.57,5772,7.3,3,4.9,8.6,65.11,61.67,83,3.3,62.7,0.141,574.938307685228,41.9704964610216,28.1719770765762,49.4446944609296,very low
RWA,Rwanda,2019,12301939,2.64,39.98,2.94,9136,6.1,1.4,3.2,6.8,70.78,66.52,59,2.5,39.4,0.1,742.647155054175,45.3014764583047,23.7647089617336,50.5000065436839,low
SAU,Saudi Arabia,2005,23816183,2.91,33.87,2.96,328461,5.6,6,5.4,3.4,74.88,71.88,17,0.473000000000001,16.3,0.7,13791.5047092139,772.324263715978,744.741254297551,468.911160113273,high
SAU,Saudi Arabia,2010,27421461,2.93,29.7,2.97,528207,5,5.6,5.1,3.7,75.53,72.62,19,0.436000000000001,12.2,2.4,19262.5403876183,963.127019380915,982.389559768533,712.713994341877,high
SAU,Saudi Arabia,2019,33699947,1.8,25.04,3.31,683827,-0.7,5.3,4.64,5.7,76.61,73.8,10,0.400000000000001,8.7,2.4,20291.6342865465,-142.041440005826,941.531830895758,1156.62315433315,high
SLB,Solomon Islands,2005,469918,2.45,41.31,3.02,429,12.8,2.2,7.252,10.1,70.83,67.69,106,1.41,24.6,0.2,912.925233764189,116.854429921816,66.2053379525789,92.205448610183,low
SLB,Solomon Islands,2010,527861,2.43,40.75,3.34,720,10.6,2.1,9.9,7.3,72.55,69.07,80,2.824,23,0.2,1363.99544577076,144.583517251701,135.035549131305,99.5716675412656,low
SLB,Solomon Islands,2019,652858,2.61,40.24,3.6,1212,3.5,2.1,5.161,5.2,74.7,71.16,74,1.652,20.2,0.2,1856.4527048761,64.9758446706634,95.8115240986554,96.5355406535571,low
SYC,Seychelles,2005,82858,0.46,24.97,6.98,919,9,5.5,5.4,3.9,77.1,67.4,18,1.189,11.9,1.2,11091.2645731251,998.21381158126,598.928286948756,432.559318351879,high
SYC,Seychelles,2010,89770,2.79,22.81,7.57,970,5.9,7.87800000000001,4.8,3.6,77.5,69.1,21,1.35,12.2,1.1,10805.3915561992,637.518101815751,518.65879469756,388.99409602317,high
SYC,Seychelles,2019,96762,0.95,23.64,7.59,1487,6.3,4.1,4.4,3.9,77.4,68.5,18,1.235,12.4,0.9,15367.6029846427,968.158988032492,676.17453132428,599.336516401067,high
SDN,Sudan (the),2005,30949516,2.4,43.47,3.12,40581.44,6.949,13.1,1.6,4.1,62.49,58.64,236.32,0.2,61.8,0.3,1311.21404289489,91.1162638407657,20.9794246863182,53.7597757586904,low
SDN,Sudan (the),2010,34545013,2.23,42.99,3.27,54459,8.8,12.8,2.2,5,64.54,61.03,213.74,0.2,53.2,0.3,1576.46488655251,138.728910016621,34.6822275041552,78.8232443276255,low
SDN,Sudan (the),2019,41801533,2.39,40.51,3.58,120266,3.2,12.7,4.5,5.7,66.95,63.28,71,0.2,47.8,0.4,2877.07151792734,92.066288573675,129.468218306731,163.993076521859,medium
